Date,Time,Temperature,Humidity
2020-07-25,00:30,64.69999694824219,30.299999237060547
2020-07-25,00:45,64.5999984741211,30.0
2020-07-25,01:00,63.599998474121094,30.299999237060547
2020-07-25,01:15,64.30000305175781,30.100000381469727
2020-07-25,01:30,64.0,30.100000381469727
2020-07-25,01:45,64.0999984741211,30.200000762939453
2020-07-25,02:00,64.0,30.200000762939453
2020-07-25,02:15,63.400001525878906,30.399999618530273
2020-07-25,02:30,63.20000076293945,30.399999618530273
2020-07-25,02:45,61.79999923706055,30.5
2020-07-25,03:00,60.900001525878906,30.600000381469727
2020-07-25,03:15,63.0,30.200000762939453
2020-07-25,03:30,63.400001525878906,30.0
2020-07-25,03:45,63.900001525878906,29.899999618530273
2020-07-25,04:00,64.4000015258789,29.799999237060547
2020-07-25,04:15,64.30000305175781,29.700000762939453
2020-07-25,04:30,64.5,29.700000762939453
2020-07-25,04:45,62.5,30.5
2020-07-25,05:00,62.5,30.399999618530273
2020-07-25,05:15,63.0,30.299999237060547
2020-07-25,05:30,65.69999694824219,29.600000381469727
2020-07-25,05:45,67.4000015258789,29.200000762939453
2020-07-25,06:00,68.5,28.799999237060547
2020-07-25,06:15,70.0,28.600000381469727
2020-07-25,06:30,70.69999694824219,28.5
2020-07-25,06:45,70.30000305175781,28.600000381469727
2020-07-25,07:00,70.0,28.700000762939453
2020-07-25,07:15,70.5,28.700000762939453
2020-07-25,07:30,71.0,28.600000381469727
2020-07-25,07:45,71.0999984741211,28.600000381469727
2020-07-25,08:00,70.80000305175781,28.600000381469727
2020-07-25,08:15,71.0,28.600000381469727
2020-07-25,08:30,69.4000015258789,29.100000381469727
2020-07-25,08:45,69.4000015258789,29.100000381469727
2020-07-25,09:00,70.5,29.0
2020-07-25,09:15,70.80000305175781,29.100000381469727
2020-07-25,16:30,67.5999984741211,29.799999237060547
2020-07-25,16:45,59.5,32.099998474121094
2020-07-26,00:13,62.70000076293945,33.099998474121094
2020-07-26,00:16,74.0,34.0
2020-07-26,00:19,73.0,34.0
2020-07-26,00:19,73.0,34.0
2020-07-26,00:19,73.0,34.0
2020-07-26,00:19,76.0,34.0
2020-10-03,20:09,3.0,1.0
2020-10-03,20:09,3.0,1.0
2020-10-03,20:10,3.0,1.0
